MASTER P.O. LOG,,,,,,,,,,,
Updated as of:,,,,,,,,,                                                                                                                                                                                                                                                    ,,
,,,,,,,,,                                                                                                                                                                                                                                                    ,,
,,,,,,,,,,,
,,, ,,,,,,,,
PO#,DATE,TO,DESCRIPTION,JOB,DUE,RECEIVED,B/O,SHIP TO,COMMENTS,,
19337,1/18/2022,Paradigm Structural Engineers,Evaluate 2nd and 4th floors for spyder cranes,Intuit,,RECEIVED,,Shop Delivery,,,
21042,12/3/2024,Paradise Doors,SQRC Door Package,SQRC,"Thursday, August 07, 2025",,,Shop Delivery,MS,,
19595,8/5/2022,Paramount Extrusions,Tooling of New Die,HOTEL PRESIDENT,"Friday, August 26, 2022",Received,,,Greg Sievers PO's,,
19394,2/4/2022,PCI,Install Hilti Firestopping Spray,Sunnyvale Civic Center,"Thursday, February 10, 2022",,,Jobsite,,,
20409,11/6/2023,PCS,Dewalt tool stockorder ,SCB,"Friday, November 10, 2023",,,Shop Delivery,Dan/Shop PO's,,
18962,8/19/2021,PDM Steel,"QTY 1- 14"" x 4"" x 1/4"" HS Tubing",CSUEB Library,"Thursday, August 26, 2021",,,Shop Delivery,,,
20528,4/23/2024,Penhall COmpany,Concrete Scanning - Parking Garage- Green screen,SCB,"Monday, May 06, 2024",,,Jobsite,Paul Nasij PO's,,
18476,2/26/2021,PK DELP,Structural Engineering,Sunnyvale Civic Center,,RECEIVED,,Testing,,,
20517,1/17/2024,PKDELP Structural Engineering,Structural Engineering of Timber CW,SSF Wellness Center,,,,Office Delivery,Paul Nasij PO's  - FOR Mina Nasij,,
18426,2/10/2021,POHL,"QTY 10 Column Panels- Mill Finish .125"" Aluminum with Braces",10th Street,"Friday, March 05, 2021",,,Shop Delivery,,,
18636,4/15/2021,Priority Roofing Solutions,QTY 19 Ea.- Crush Sleeves,Westfield Eataly,"Friday, April 23, 2021",,,Shop Delivery,,,
20620,6/26/2024,Prodema Parklex,10mm Rustik Panels + Furring ,SMMC,,,,Shop Delivery,CE,,
18566,3/25/2021,Prodema USA,"QTY 2700- Clips Mills, QTY 3000- Clip Screws",Westfield Eataly,"Monday, April 05, 2021",,,Shop Delivery,,,
19485,3/11/2022,Pulp Studio,"QTY 15 Lites- 9/16"" Low Iron Frosted Lami",One Beach Street,"Friday, April 08, 2022",,,Shop Delivery,,,
18370,1/20/2021,Pulp Studios,"QTY 6 Lites- GL2- 9/16"" Acid Etch Lami",John Muir PH,"Monday, March 01, 2021",,,Shop Delivery,,,
19428,2/18/2022,QC Facades,QTY 11 Panles- Panel Portion Remakes,Burlingame TI,"Friday, March 25, 2022",,,Shop Delivery,,,
18331,1/11/2021,QickServ,QTY 2- Custom Single Slider Window,John Muir PH,"Monday, March 01, 2021",,,Shop Delivery,,,
18781,6/15/2021,Qualified Hardware,QTY 2- Center Hung Rixson Pivot Set,Uptown Station,,RECEIVED,,Shop Delivery,,,
19480,3/4/2022,Raco Interiors,QTY 2- 6' x 4' Bronze Ano. Frames,San Mateo Med Center,"Friday, April 15, 2022",,,Shop Delivery,,,
20182,4/28/2023,Raise Engineering,Bechtel eng.,Bechtel,,,,,,,
20974,11/19/2024,red-D-Arc welding ,smoke hog rental ,SFO-itb,"Monday Nov.4,2024",,,Shop Delivery,Dan/Shop PO's,,
18363,1/19/2021,Reveal Windows & Doors,Timber Curtain Wall System,Sunnyvale Civic Center,"Monday, September 13, 2021",,,Shop Delivery,,,
19879,8/11/2022,Rieder North America,Stone Panel Anchors,901 Cherry,"Thursday, August 25, 2022",,,Shop Delivery,PS,,
18466,2/25/2021,Ryerson,"QTY 4 Pcs- 192"" x 48"", QTY 12 Pcs- 96"" x 48""- .250 Alum Diamond Plate",Union City Bart,"Wednesday, March 03, 2021",,,Shop Delivery,,,
18629,4/19/2021,Sadev,Various QTY's of Classic Series S300 Spider Fittings,Genentech B50,"Thursday, May 06, 2021",,,Shop Delivery,,,
19912,10/7/2022,SAF West,"Anodized Allum Sheet 48""x 144"" .040",901 Cherry,,,,Shop Delivery,PS,,
19926,10/17/2022,Safelite ,Windshield Replacement - CSE account,Expense,,,,Office Delivery,CE,,
20934,10/15/2024,Service  Partners ,foil tape & insulation washers ,SCB,"Monday Oct.7,2024",,,Shop Delivery,Dan/Shop PO's,,
20876,10/17/2024,Shape Architectural,ACM Panels - VMU for SSF Wellness,SSF Wellness,"Monday, December 02, 2024",,,Shop Delivery,Greg Sievers PO's,,
19660,4/26/2022,Skyline Design ,QTY 11 Art Glass Panels - MED A ,Kaiser Pleasanton - Art Glass ,"Tuesday, July 05, 2022",,,Shop Delivery,BG,,
20726,8/7/2024,SL Air Gas ,welding jackets & gloves ,Bechtel ,"Wensday August 8,2024",,,Will Call,Dan/Shop PO's,,
19113,10/18/2021,Smalley & Company,QTY 10 cases- 756 Black Sausage,901 Cherry,"Friday, October 22, 2021",,,Shop Delivery,,,
19342,1/19/2022,Smiley Lift Solutions,Spydercrane Rental,Intuit,"Wednesday, January 26, 2022",,,Jobsite,,,
18729,5/25/2021,Smith-Emery Laboratories,Test Chamber and Mockup Test,901 Cherry,"Thursday, September 16, 2021",,,Testing,,,
18984,8/27/2021,Stanley,"QTY 1000- 1/32"" x 3"" x 4"" Horseshoe",CSUEB Library,"Wednesday, September 01, 2021",,,Shop Delivery,,,
19135,10/25/2021,Stanley Access Technology,"QTY 2- DuroGlide Greenstart 2000 Series, QTY 1- 3000 Series",CSUEB Library,"Wednesday, December 15, 2021",,,Shop Delivery,,,
20301,8/24/2023,Steve Heck,Mockup Sill Pan,SFSU,"Friday, August 25, 2023",,,Shop Delivery,MS,,
19264,12/13/2021,Stuart Dean,Stainless Oxidized Material for level 10,One Beach Street,"Thursday, January 13, 2022",,,Shop Delivery,,,
